xcoord	ycoord	lab	tumor	
C1_13.945_10.961	13.945	10.961	L51	tumor
C1_20.901_11.88	20.901	11.88	L52	tumor
C1_21.913_11.908	21.913	11.908	L53	tumor
C1_12.009_11.919	12.009	11.919	L54	tumor
C1_4.015_11.894	4.015	11.894	L55	tumor
C1_9.874_11.904	9.874	11.904	L56	tumor
C1_10.87_11.915	10.87	11.915	L57	tumor
C1_19.977_11.905	19.977	11.905	L58	tumor
C1_18.91_11.912	18.91	11.912	L59	tumor
C1_8.984_11.927	8.984	11.927	L60	tumor
C1_15.902_11.922	15.902	11.922	L61	tumor
C1_4.859_11.929	4.859	11.929	L62	tumor
C1_17.927_11.93	17.927	11.93	L63	tumor
C1_12.981_11.953	12.981	11.953	L64	tumor
C1_14.974_11.95	14.974	11.95	L65	tumor
C1_16.882_11.943	16.882	11.943	L66	tumor
C1_13.947_11.961	13.947	11.961	L67	tumor
C1_6.893_11.957	6.893	11.957	L68	tumor
C1_5.855_11.959	5.855	11.959	L69	tumor
C1_7.914_11.988	7.914	11.988	L70	non
C1_2.839_12.85	2.839	12.85	L71	tumor
C1_10.919_12.905	10.919	12.905	L72	tumor
C1_21.912_12.907	21.912	12.907	L73	tumor
C1_9.883_12.917	9.883	12.917	L74	tumor
C1_19.98_12.919	19.98	12.919	L75	tumor
C1_20.964_12.925	20.964	12.925	L76	tumor
C1_15.909_12.931	15.909	12.931	L77	tumor
C1_5.863_12.941	5.863	12.941	L78	non
C1_17.914_12.927	17.914	12.927	L79	tumor
C1_18.929_12.94	18.929	12.94	L80	tumor
C1_4.851_12.942	4.851	12.942	L81	tumor
C1_7.886_12.954	7.886	12.954	L82	tumor
C1_12.028_12.969	12.028	12.969	L83	tumor
C1_14.947_12.952	14.947	12.952	L84	tumor
C1_16.896_12.958	16.896	12.958	L85	tumor
C1_6.892_12.953	6.892	12.953	L86	tumor
C1_4.094_12.966	4.094	12.966	L87	tumor
C1_1.969_12.972	1.969	12.972	L88	tumor
C1_13.958_12.968	13.958	12.968	L89	tumor
C1_12.997_12.97	12.997	12.97	L90	tumor
C1_10.914_13.915	10.914	13.915	L91	tumor
C1_21.917_13.902	21.917	13.902	L92	tumor
C1_20.889_13.9	20.889	13.9	L93	tumor
C1_9.893_13.906	9.893	13.906	L94	tumor
C1_19.997_13.917	19.997	13.917	L95	tumor
C1_8.978_13.927	8.978	13.927	L96	tumor
C1_15.912_13.93	15.912	13.93	L97	tumor
C1_23.062_13.946	23.062	13.946	L98	tumor
C1_6.948_13.944	6.948	13.944	L99	tumor
C1_14.959_13.94	14.959	13.94	L100	tumor
C1_16.891_13.936	16.891	13.936	L101	tumor
C1_18.945_13.938	18.945	13.938	L102	tumor
C1_5.858_13.954	5.858	13.954	L103	tumor
C1_17.923_13.942	17.923	13.942	L104	tumor
C1_4.885_13.964	4.885	13.964	L105	tumor
C1_13.006_13.966	13.006	13.966	L106	tumor
C1_12.035_13.991	12.035	13.991	L107	tumor
C1_13.962_13.971	13.962	13.971	L108	tumor
C1_4.047_13.994	4.047	13.994	L109	tumor
C1_2.93_13.996	2.93	13.996	L110	tumor
C1_1.994_14.004	1.994	14.004	L111	tumor
C1_21.911_14.92	21.911	14.92	L112	tumor
C1_18.931_14.923	18.931	14.923	L113	tumor
C1_20.906_14.916	20.906	14.916	L114	tumor
C1_23.055_14.94	23.055	14.94	L115	non
C1_4.083_14.942	4.083	14.942	L116	tumor
C1_15.912_14.932	15.912	14.932	L117	tumor
C1_23.992_14.933	23.992	14.933	L118	tumor
C1_9.892_14.945	9.892	14.945	L119	tumor
C1_20.002_14.942	20.002	14.942	L120	tumor
C1_4.874_14.951	4.874	14.951	L121	tumor
C1_6.904_14.949	6.904	14.949	L122	tumor
C1_13.95_14.955	13.95	14.955	L123	tumor
C1_16.909_14.943	16.909	14.943	L124	tumor
C1_17.907_14.951	17.907	14.951	L125	tumor
C1_8.979_14.96	8.979	14.96	L126	tumor
C1_10.912_14.972	10.912	14.972	L127	tumor
C1_14.964_14.963	14.964	14.963	L128	tumor
C1_1.989_14.993	1.989	14.993	L129	tumor
C1_12.054_14.997	12.054	14.997	L130	tumor
C1_5.829_15.003	5.829	15.003	L131	tumor
C1_12.968_15.012	12.968	15.012	L132	tumor
C1_2.877_15.072	2.877	15.072	L133	tumor
C1_21.928_15.899	21.928	15.899	L134	tumor
C1_9.896_15.901	9.896	15.901	L135	tumor
C1_20.93_15.935	20.93	15.935	L136	tumor
C1_10.908_15.945	10.908	15.945	L137	tumor
C1_8.966_15.932	8.966	15.932	L138	tumor
C1_7.907_15.937	7.907	15.937	L139	tumor
C1_15.916_15.933	15.916	15.933	L140	tumor
C1_20.006_15.94	20.006	15.94	L141	tumor
C1_17.918_15.951	17.918	15.951	L142	tumor
C1_24.031_15.951	24.031	15.951	L143	tumor
C1_14.975_15.953	14.975	15.953	L144	tumor
C1_16.905_15.958	16.905	15.958	L145	tumor
C1_2.028_15.961	2.028	15.961	L146	tumor
C1_12.027_15.973	12.027	15.973	L147	tumor
C1_23.049_15.976	23.049	15.976	L148	tumor
C1_5.864_15.971	5.864	15.971	L149	tumor
C1_18.952_15.972	18.952	15.972	L150	tumor
C1_4.875_15.97	4.875	15.97	L151	tumor
C1_12.982_15.989	12.982	15.989	L152	tumor
C1_13.961_15.989	13.961	15.989	L153	tumor
C1_2.915_15.994	2.915	15.994	L154	tumor
C1_4.027_16.013	4.027	16.013	L155	tumor
C1_21.956_16.915	21.956	16.915	L156	tumor
C1_20.878_16.919	20.878	16.919	L157	tumor
C1_9.875_16.925	9.875	16.925	L158	tumor
C1_20.008_16.916	20.008	16.916	L159	tumor
C1_10.916_16.954	10.916	16.954	L160	tumor
C1_8.991_16.946	8.991	16.946	L161	tumor
C1_7.912_16.951	7.912	16.951	L162	tumor
C1_23.067_16.96	23.067	16.96	L163	tumor
C1_15.91_16.956	15.91	16.956	L164	tumor
C1_4.865_16.96	4.865	16.96	L165	non
C1_17.926_16.957	17.926	16.957	L166	tumor
C1_6.901_16.973	6.901	16.973	L167	tumor
C1_16.918_16.966	16.918	16.966	L168	tumor
C1_18.952_16.963	18.952	16.963	L169	tumor
C1_3.967_16.972	3.967	16.972	L170	tumor
C1_12.039_16.975	12.039	16.975	L171	tumor
C1_14.98_16.967	14.98	16.967	L172	tumor
C1_13.953_16.977	13.953	16.977	L173	tumor
C1_5.849_16.979	5.849	16.979	L174	tumor
C1_13.005_16.974	13.005	16.974	L175	tumor
C1_2.929_17.023	2.929	17.023	L176	tumor
C1_1.959_17.104	1.959	17.104	L177	tumor
C1_21.947_17.893	21.947	17.893	L178	tumor
C1_20.941_17.917	20.941	17.917	L179	tumor
C1_19.996_17.942	19.996	17.942	L180	tumor
C1_9.9_17.947	9.9	17.947	L181	tumor
C1_10.93_17.95	10.93	17.95	L182	tumor
C1_4.903_17.956	4.903	17.956	L183	non
C1_6.896_17.946	6.896	17.946	L184	tumor
C1_7.908_17.948	7.908	17.948	L185	tumor
C1_18.94_17.956	18.94	17.956	L186	tumor
C1_15.919_17.944	15.919	17.944	L187	tumor
C1_16.917_17.956	16.917	17.956	L188	tumor
C1_13.957_17.96	13.957	17.96	L189	tumor
C1_8.976_17.953	8.976	17.953	L190	tumor
C1_14.965_17.963	14.965	17.963	L191	tumor
C1_23.056_17.972	23.056	17.972	L192	tumor
C1_1.974_17.976	1.974	17.976	L193	tumor
C1_3.95_17.97	3.95	17.97	L194	non
C1_12.024_17.982	12.024	17.982	L195	tumor
C1_2.94_17.978	2.94	17.978	L196	tumor
C1_12.982_17.986	12.982	17.986	L197	tumor
C1_10.893_18.918	10.893	18.918	L198	tumor
C1_20.918_18.918	20.918	18.918	L199	tumor
C1_4.872_18.914	4.872	18.914	L200	non
C1_9.881_18.924	9.881	18.924	L201	tumor
C1_19.968_18.927	19.968	18.927	L202	tumor
C1_14.956_18.93	14.956	18.93	L203	tumor
C1_15.903_18.94	15.903	18.94	L204	tumor
C1_18.924_18.941	18.924	18.941	L205	tumor
C1_17.92_18.947	17.92	18.947	L206	tumor
C1_6.882_18.954	6.882	18.954	L207	tumor
C1_12.979_18.97	12.979	18.97	L208	tumor
C1_5.857_18.966	5.857	18.966	L209	tumor
C1_7.898_18.956	7.898	18.956	L210	tumor
C1_8.974_18.964	8.974	18.964	L211	tumor
C1_13.935_18.965	13.935	18.965	L212	tumor
C1_3.877_18.972	3.877	18.972	L213	non
C1_12.024_18.98	12.024	18.98	L214	tumor
C1_16.913_18.976	16.913	18.976	L215	tumor
C1_1.95_18.986	1.95	18.986	L216	tumor
C1_2.929_18.992	2.929	18.992	L217	non
C1_8.996_19.943	8.996	19.943	L218	tumor
C1_9.859_19.946	9.859	19.946	L219	tumor
C1_15.888_19.965	15.888	19.965	L220	tumor
C1_17.937_19.96	17.937	19.96	L221	tumor
C1_7.874_19.967	7.874	19.967	L222	tumor
C1_4.91_19.97	4.91	19.97	L223	tumor
C1_10.894_19.975	10.894	19.975	L224	tumor
C1_18.931_19.977	18.931	19.977	L225	tumor
C1_6.898_19.977	6.898	19.977	L226	tumor
C1_12.041_19.984	12.041	19.984	L227	non
C1_5.838_19.977	5.838	19.977	L228	tumor
C1_16.901_19.978	16.901	19.978	L229	tumor
C1_1.931_19.983	1.931	19.983	L230	tumor
C1_13.01_19.99	13.01	19.99	L231	tumor
C1_14.95_19.987	14.95	19.987	L232	tumor
C1_2.892_20.001	2.892	20.001	L233	non
C1_13.944_20.003	13.944	20.003	L234	tumor
C1_3.954_20.045	3.954	20.045	L235	non
C1_10.923_20.932	10.923	20.932	L236	tumor
C1_9.878_20.939	9.878	20.939	L237	tumor
C1_7.904_20.946	7.904	20.946	L238	tumor
C1_8.952_20.951	8.952	20.951	L239	tumor
C1_2.902_20.973	2.902	20.973	L240	tumor
C1_13.948_20.968	13.948	20.968	L241	tumor
C1_4.892_20.967	4.892	20.967	L242	tumor
C1_12.976_20.977	12.976	20.977	L243	tumor
C1_14.951_20.97	14.951	20.97	L244	non
C1_15.91_20.967	15.91	20.967	L245	tumor
C1_3.911_20.976	3.911	20.976	L246	tumor
C1_6.881_20.984	6.881	20.984	L247	tumor
C1_16.903_20.984	16.903	20.984	L248	tumor
C1_12.016_20.993	12.016	20.993	L249	tumor
C1_5.852_21.002	5.852	21.002	L250	tumor
C1_10.93_21.946	10.93	21.946	L251	tumor
C1_4.909_21.929	4.909	21.929	L252	tumor
C1_3.912_21.958	3.912	21.958	L253	tumor
C1_9.881_21.958	9.881	21.958	L254	tumor
C1_8.958_21.96	8.958	21.96	L255	tumor
C1_6.893_21.964	6.893	21.964	L256	tumor
C1_7.877_21.958	7.877	21.958	L257	tumor
C1_2.919_21.979	2.919	21.979	L258	tumor
C1_12.01_21.982	12.01	21.982	L259	tumor
C1_5.862_21.977	5.862	21.977	L260	tumor
C1_13.949_21.983	13.949	21.983	L261	tumor
C1_14.959_21.993	14.959	21.993	L262	tumor
C1_12.982_21.993	12.982	21.993	L263	tumor
C1_4.913_22.907	4.913	22.907	L264	tumor
C1_10.895_22.969	10.895	22.969	L265	tumor
C1_9.866_22.954	9.866	22.954	L266	tumor
C1_12.031_22.973	12.031	22.973	L267	tumor
C1_7.911_22.985	7.911	22.985	L268	tumor
C1_14.942_22.966	14.942	22.966	L269	tumor
C1_13.948_22.978	13.948	22.978	L270	tumor
C1_6.876_22.979	6.876	22.979	L271	tumor
C1_5.882_22.976	5.882	22.976	L272	tumor
C1_8.956_22.985	8.956	22.985	L273	tumor
C1_12.994_22.993	12.994	22.993	L274	tumor
C1_10.91_23.953	10.91	23.953	L275	tumor
C1_9.879_23.954	9.879	23.954	L276	tumor
C1_8.925_23.964	8.925	23.964	L277	tumor
C1_12.042_23.995	12.042	23.995	L278	tumor
C1_7.912_23.978	7.912	23.978	L279	tumor
C1_6.867_23.988	6.867	23.988	L280	tumor
C1_5.956_24.017	5.956	24.017	L281	tumor
C1_12.966_24.014	12.966	24.014	L282	tumor
C1_7.93_24.909	7.93	24.909	L283	tumor
C1_8.956_24.967	8.956	24.967	L284	tumor
C1_9.855_24.967	9.855	24.967	L285	tumor
C1_10.88_24.976	10.88	24.976	L286	tumor
C1_5.941_25.023	5.941	25.023	L287	tumor
C1_6.902_25.029	6.902	25.029	L288	tumor
C1_5.855_25.869	5.855	25.869	L289	tumor
C1_8.984_25.971	8.984	25.971	L290	tumor
C1_7.91_25.988	7.91	25.988	L291	tumor
C1_6.908_25.994	6.908	25.994	L292	tumor
C1_7.929_26.972	7.929	26.972	L293	tumor
C1_6.914_26.992	6.914	26.992	L294	tumor
